filename,instruction,input,output
IMG_4719.jpeg,Rephrase the question,How many plates are there on the bottom shelf?,How many plates are on the bottom shelf of the cabinet?
IMG_4719.jpeg,Rephrase the question,What is the color of the plates on the bottom shelf?,What color are the plates on the bottom shelf of the cabinet?
IMG_4723.jpeg,Rephrase the question,"1.	What type of appliance is this?",What type of appliance is this?
IMG_4723.jpeg,Rephrase the question,What brand is it?,"Do you see any branding on the appliance? If yes, what brand is it?"
IMG_4723.jpeg,Rephrase the question,What is the color of the appliance?,What is the primary color of the appliance?
IMG_4723.jpeg,Rephrase the question,What type of cooktop is this?,"What type of cooktop is this? (e.g., gas, electric, induction)"
IMG_4723.jpeg,Rephrase the question,How many burners does the cooktop have?,Do you see any burners in the image? If yes then how many burners are there?
IMG_4723.jpeg,Rephrase the question,What type of knobs does the cooktop have?,"What type of knobs does the cooktop have? (e.g., round, square, rectangular)"
IMG_4723.jpeg,Rephrase the question,What is the size of the cooktop?,"What is the approximate size of the cooktop? (e.g., small, medium, large)"
IMG_4723.jpeg,Rephrase the question,What is the shape of the cooktop?,"What is the shape of the cooktop? (e.g., square, rectangular, round)"
IMG_4723.jpeg,Rephrase the question,What is the material of the cooktop?,"What is the material of the cooktop? (e.g., stainless steel, glass, ceramic)"
IMG_4723.jpeg,Rephrase the question,What is the color of the knobs?,What is the color of the knobs?
IMG_4723.jpeg,Rephrase the question,What is the color of the grates?,What is the color of the grates?
IMG_4723.jpeg,Rephrase the question,What is the material of the grates?,"What is the material of the grates? (e.g., cast iron, stainless steel)"
IMG_4723.jpeg,Rephrase the question,What is the size of the grates?,"What is the approximate size of the grates? (e.g., small, medium, large)"
IMG_4723.jpeg,Rephrase the question,What is the shape of the grates?,"What is the shape of the grates? (e.g., square, rectangular, round)"
IMG_4723.jpeg,Rephrase the question,What is the material of the knobs?,"What is the material of the knobs? (e.g., plastic, metal)"
IMG_4723.jpeg,Rephrase the question,What is the size of the knobs?,"What is the approximate size of the knobs? (e.g., small, medium, large)"
IMG_4723.jpeg,Rephrase the question,What is the shape of the knobs?,"What is the shape of the knobs? (e.g., round, square, rectangular)"
IMG_4723.jpeg,Rephrase the question,What is the color of the knobs?,What is the color of the knobs?
IMG_4723.jpeg,Rephrase the question,What is the material of the knobs?,"What is the material of the knobs? (e.g., plastic, metal)"
IMG_4723.jpeg,Rephrase the question,What is the size of the knobs?,"What is the approximate size of the knobs? (e.g., small, medium, large)"
IMG_4723.jpeg,Rephrase the question,What is the shape of the knobs?,"What is the shape of the knobs? (e.g., round, square, rectangular)"
IMG_4723.jpeg,Rephrase the question,What is the color of the knobs?,What is the color of the knobs?
IMG_4723.jpeg,Rephrase the question,What is the material of the knobs?,"What is the material of the knobs? (e.g., plastic, metal)"
IMG_4723.jpeg,Rephrase the question,What is the size of the knobs?,"What is the approximate size of the knobs? (e.g., small, medium, large)"
IMG_4723.jpeg,Rephrase the question,What is the shape of the knobs?,"What is the shape of the knobs? (e.g., round, square, rectangular)"
IMG_4723.jpeg,Rephrase the question,What is the color of the knobs?,What is the color of the knobs?
IMG_4723.jpeg,Rephrase the question,What is the material of the knobs?,"What is the material of the knobs? (e.g., plastic, metal)"
IMG_4723.jpeg,Rephrase the question,What is the size of the knobs?,"What is the approximate size of the knobs? (e.g., small, medium, large)"
IMG_4723.jpeg,Rephrase the question,What is the shape of the knobs?,"What is the shape of the knobs? (e.g., round, square, rectangular)"
IMG_4723.jpeg,Rephrase the question,What is the color of the knobs?,What is the color of the knobs?
IMG_4703.jpeg,Rephrase the question,What is the name of the store?,"Do you see any store name in the image? If yes, what is the name of the store?"
IMG_4703.jpeg,Rephrase the question,What is the date?,"Do you see any date in the image? If yes, what is the date?"
IMG_4703.jpeg,Rephrase the question,What is the time?,"Do you see any time in the image? If yes, what is the time?"
IMG_4703.jpeg,Rephrase the question,What is the temperature outside?,"Do you see any temperature reading in the image? If yes, what is the temperature outside?"
IMG_4703.jpeg,Rephrase the question,What is the weather like?,"Do you see any weather conditions in the image? If yes, what is the weather like?"
IMG_4703.jpeg,Rephrase the question,What is the name of the cashier?,"Do you see any cashier in the image? If yes, what is the name of the cashier?"
IMG_4703.jpeg,Rephrase the question,What is the cashier wearing?,"Do you see any cashier in the image? If yes, what is the cashier wearing?"
IMG_4703.jpeg,Rephrase the question,What is the customer wearing?,"Do you see any customer in the image? If yes, what is the customer wearing?"
IMG_4703.jpeg,Rephrase the question,What is the customer holding?,"Do you see any customer in the image? If yes, what is the customer holding?"
IMG_4703.jpeg,Rephrase the question,What is the customer's order?,"Do you see any customer in the image? If yes, what is the customer's order?"
IMG_4703.jpeg,Rephrase the question,What is the price of the customer's order?,"Do you see any customer in the image? If yes, what is the price of the customer's order?"
IMG_4703.jpeg,Rephrase the question,What is the total cost of the customer's order?,"Do you see any customer in the image? If yes, what is the total cost of the customer's order?"
IMG_4703.jpeg,Rephrase the question,What is the customer's name?,"Do you see any customer in the image? If yes, what is the customer's name?"
IMG_4703.jpeg,Rephrase the question,What is the customer's phone number?,"Do you see any customer in the image? If yes, what is the customer's phone number?"
IMG_4703.jpeg,Rephrase the question,What is the customer's email address?,"Do you see any customer in the image? If yes, what is the customer's email address?"
IMG_4703.jpeg,Rephrase the question,What is the customer's address?,"Do you see any customer in the image? If yes, what is the customer's address?"
IMG_4703.jpeg,Rephrase the question,What is the customer's credit card number?,"Do you see any customer in the image? If yes, what is the customer's credit card number?"
IMG_4703.jpeg,Rephrase the question,What is the customer's expiration date?,"Do you see any customer in the image? If yes, what is the customer's expiration date?"
IMG_4703.jpeg,Rephrase the question,What is the customer's CVV code?,"Do you see any customer in the image? If yes, what is the customer's CVV code?"
IMG_4703.jpeg,Rephrase the question,What is the customer's signature?,"Do you see any customer in the image? If yes, what is the customer's signature?"
IMG_4703.jpeg,Rephrase the question,What is the name of the bakery?,"Do you see any bakery name in the image? If yes, what is the name of the bakery?"
IMG_4703.jpeg,Rephrase the question,What is the address of the bakery?,"Do you see any bakery address in the image? If yes, what is the address of the bakery?"
IMG_4703.jpeg,Rephrase the question,What is the phone number of the bakery?,"Do you see any bakery phone number in the image? If yes, what is the phone number of the bakery?"
IMG_4703.jpeg,Rephrase the question,What are the hours of operation of the bakery?,"Do you see any bakery hours of operation in the image? If yes, what are the hours of operation of the bakery?"
IMG_4703.jpeg,Rephrase the question,What is the website of the bakery?,"Do you see any bakery website in the image? If yes, what is the website of the bakery?"
IMG_4703.jpeg,Rephrase the question,What is the menu of the bakery?,"Do you see any bakery menu in the image? If yes, what is the menu of the bakery?"
IMG_4703.jpeg,Rephrase the question,What are the prices of the bakery items?,"Do you see any bakery item prices in the image? If yes, what are the prices of the bakery items?"
IMG_4703.jpeg,Rephrase the question,What are the ingredients of the bakery items?,"Do you see any bakery item ingredients in the image? If yes, what are the ingredients of the bakery items?"
IMG_4703.jpeg,Rephrase the question,What are the nutritional values of the bakery items?,"Do you see any bakery item nutritional values in the image? If yes, what are the nutritional values of the bakery items?"
IMG_4703.jpeg,Rephrase the question,What are the reviews of the bakery?,"Do you see any bakery reviews in the image? If yes, what are the reviews of the bakery?"
IMG_4715.jpeg,Rephrase the question,What is the name of the restaurant on the right?,Can you identify the name of the restaurant on the right side of the image?
IMG_4715.jpeg,Rephrase the question,What is the name of the restaurant in the middle?,What is the name of the restaurant located in the center of the image?
IMG_4715.jpeg,Rephrase the question,What is the name of the restaurant on the left?,"Do you see a restaurant on the left side of the image? If yes, what is its name?"
IMG_4715.jpeg,Rephrase the question,What is the name of the shopping center?,"Is there a shopping center in the image? If yes, what is its name?"
IMG_4715.jpeg,Rephrase the question,What are the hours of operation for the shopping center?,Are the hours of operation for the shopping center visible in the image?
IMG_4715.jpeg,Rephrase the question,What is the name of the street that the shopping center is located on?,Can you determine the street name where the shopping center is located?
IMG_4715.jpeg,Rephrase the question,What is the cross street of the shopping center?,Is there a cross street visible in the image that intersects with the shopping center's street?
IMG_4715.jpeg,Rephrase the question,What is the zip code of the shopping center?,Is the zip code of the shopping center displayed in the image?
IMG_4715.jpeg,Rephrase the question,What is the square footage of the shopping center?,Can you estimate the square footage of the shopping center based on the image?
IMG_4715.jpeg,Rephrase the question,How many tenants are there in the shopping center?,Are there any visible signs indicating the number of tenants in the shopping center?
IMG_4715.jpeg,Rephrase the question,What is the name of the anchor store in the shopping center?,"Is there an anchor store in the shopping center? If yes, what is its name?"
IMG_4715.jpeg,Rephrase the question,What are the other stores in the shopping center?,Can you identify any other stores in the shopping center from the image?
IMG_4715.jpeg,Rephrase the question,Is there a food court in the shopping center?,Is there a food court in the shopping center?
IMG_4715.jpeg,Rephrase the question,"If so, what are the names of the restaurants in the food court?","If there is a food court, can you identify the names of any restaurants within it?"
IMG_4715.jpeg,Rephrase the question,Is there a movie theater in the shopping center?,Is there a movie theater in the shopping center?
IMG_4715.jpeg,Rephrase the question,"If so, what is the name of the movie theater?","If there is a movie theater, what is its name?"
IMG_4715.jpeg,Rephrase the question,Is there a gym in the shopping center?,Is there a gym in the shopping center?
IMG_4715.jpeg,Rephrase the question,"If so, what is the name of the gym?","If there is a gym, what is its name?"
IMG_4715.jpeg,Rephrase the question,Is there a grocery store in the shopping center?,Is there a grocery store in the shopping center?
IMG_4715.jpeg,Rephrase the question,"If so, what is the name of the grocery store?","If there is a grocery store, what is its name?"
IMG_4715.jpeg,Rephrase the question,Is there a pharmacy in the shopping center?,Is there a pharmacy in the shopping center?
IMG_4715.jpeg,Rephrase the question,"If so, what is the name of the pharmacy?","If there is a pharmacy, what is its name?"
IMG_4715.jpeg,Rephrase the question,Is there a bank in the shopping center?,Is there a bank in the shopping center?
IMG_4715.jpeg,Rephrase the question,"If so, what is the name of the bank?","If there is a bank, what is its name?"
IMG_4715.jpeg,Rephrase the question,Is there a post office in the shopping center?,Is there a post office in the shopping center?
IMG_4715.jpeg,Rephrase the question,"If so, what are the hours of operation for the post office?","If there is a post office, are its hours of operation visible in the image?"
IMG_4715.jpeg,Rephrase the question,Is there a public transportation stop near the shopping center?,Is there a public transportation stop near the shopping center?
IMG_4715.jpeg,Rephrase the question,"If so, what is the name of the public transportation stop?","If there is a public transportation stop, what is its name?"
IMG_4715.jpeg,Rephrase the question,Is there a parking lot at the shopping center?,Is there a parking lot at the shopping center?
IMG_4715.jpeg,Rephrase the question,"If so, how many parking spaces are there?","If there is a parking lot, can you estimate the number of parking spaces available?"
IMG_4693.jpeg,Rephrase the question,How many different types of peppers are there?,"Do you see any different types of peppers in the image? If yes, how many different types are there?"
IMG_4693.jpeg,Rephrase the question,What are the different colors of the peppers?,What are the different colors of the peppers in the image?
IMG_4693.jpeg,Rephrase the question,What is the price of the green peppers?,"Is the price of the green peppers visible in the image? If yes, what is the price?"
IMG_4693.jpeg,Rephrase the question,What is the price of the yellow peppers?,"Is the price of the yellow peppers visible in the image? If yes, what is the price?"
IMG_4693.jpeg,Rephrase the question,What is the price of the red peppers?,"Is the price of the red peppers visible in the image? If yes, what is the price?"
IMG_4693.jpeg,Rephrase the question,What is the price of the orange peppers?,"Is the price of the orange peppers visible in the image? If yes, what is the price?"
IMG_4693.jpeg,Rephrase the question,What is the price of the mini sweet peppers?,"Is the price of the mini sweet peppers visible in the image? If yes, what is the price?"
IMG_4693.jpeg,Rephrase the question,What is the price of the brussel sprouts?,"Is the price of the brussel sprouts visible in the image? If yes, what is the price?"
IMG_4693.jpeg,Rephrase the question,What is the price of the carrots?,"Is the price of the carrots visible in the image? If yes, what is the price?"
IMG_4693.jpeg,Rephrase the question,What is the price of the potatoes?,"Is the price of the potatoes visible in the image? If yes, what is the price?"
IMG_4693.jpeg,Rephrase the question,What is the price of the broccoli?,"Is the price of the broccoli visible in the image? If yes, what is the price?"
IMG_4693.jpeg,Rephrase the question,What is the price of the cauliflower?,"Is the price of the cauliflower visible in the image? If yes, what is the price?"
IMG_4693.jpeg,Rephrase the question,What is the price of the celery?,"Is the price of the celery visible in the image? If yes, what is the price?"
IMG_4693.jpeg,Rephrase the question,What is the price of the lettuce?,"Is the price of the lettuce visible in the image? If yes, what is the price?"
IMG_4693.jpeg,Rephrase the question,What is the price of the tomatoes?,"Is the price of the tomatoes visible in the image? If yes, what is the price?"
IMG_4693.jpeg,Rephrase the question,What is the price of the cucumbers?,"Is the price of the cucumbers visible in the image? If yes, what is the price?"
IMG_4693.jpeg,Rephrase the question,What is the price of the onions?,"Is the price of the onions visible in the image? If yes, what is the price?"
IMG_4693.jpeg,Rephrase the question,What is the price of the garlic?,"Is the price of the garlic visible in the image? If yes, what is the price?"
IMG_4693.jpeg,Rephrase the question,What is the price of the ginger?,"Is the price of the ginger visible in the image? If yes, what is the price?"
IMG_4693.jpeg,Rephrase the question,What is the price of the turmeric?,"Is the price of the turmeric visible in the image? If yes, what is the price?"
IMG_4693.jpeg,Rephrase the question,What is the price of the cumin?,"Is the price of the cumin visible in the image? If yes, what is the price?"
IMG_4693.jpeg,Rephrase the question,What is the price of the coriander?,"Is the price of the coriander visible in the image? If yes, what is the price?"
IMG_4693.jpeg,Rephrase the question,What is the price of the paprika?,"Is the price of the paprika visible in the image? If yes, what is the price?"
IMG_4693.jpeg,Rephrase the question,What is the price of the chili powder?,"Is the price of the chili powder visible in the image? If yes, what is the price?"
IMG_4693.jpeg,Rephrase the question,What is the price of the cinnamon?,"Is the price of the cinnamon visible in the image? If yes, what is the price?"
IMG_4693.jpeg,Rephrase the question,What is the price of the nutmeg?,"Is the price of the nutmeg visible in the image? If yes, what is the price?"
IMG_4693.jpeg,Rephrase the question,What is the price of the cloves?,"Is the price of the cloves visible in the image? If yes, what is the price?"
IMG_4693.jpeg,Rephrase the question,What is the price of the vanilla extract?,"Is the price of the vanilla extract visible in the image? If yes, what is the price?"
IMG_4693.jpeg,Rephrase the question,What is the price of the almond extract?,"Is the price of the almond extract visible in the image? If yes, what is the price?"
IMG_4693.jpeg,Rephrase the question,What is the price of the lemon extract?,"Is the price of the lemon extract visible in the image? If yes, what is the price?"
IMG_4692.jpeg,Rephrase the question,What is the name of the store?,Do you see a sign with the name of the store in the image?
IMG_4692.jpeg,Rephrase the question,What is the color of the building?,What color is the exterior of the building in the image?
IMG_4692.jpeg,Rephrase the question,What is the color of the roof?,What color is the roof of the building in the image?
IMG_4692.jpeg,Rephrase the question,How many cars are in the parking lot?,How many vehicles are parked in the parking lot in the image?
IMG_4692.jpeg,Rephrase the question,What kind of cars are in the parking lot?,What types of vehicles are parked in the parking lot in the image?
IMG_4692.jpeg,Rephrase the question,Is there a handicapped parking spot?,Is there a designated parking space for individuals with disabilities in the image?
IMG_4692.jpeg,Rephrase the question,Is there a sign for the pharmacy?,Is there a sign indicating the location of the pharmacy in the image?
IMG_4692.jpeg,Rephrase the question,Is there a sign for the grocery pick-up?,Is there a sign indicating the location of the grocery pick-up area in the image?
IMG_4692.jpeg,Rephrase the question,What is the weather like?,What are the weather conditions depicted in the image?
IMG_4692.jpeg,Rephrase the question,Is the sun shining?,Is the sun visible in the image?
IMG_4692.jpeg,Rephrase the question,Is it daytime or nighttime?,Is it daytime or nighttime in the image?
IMG_4692.jpeg,Rephrase the question,Is there a crosswalk?,Is there a crosswalk marked in the image?
IMG_4692.jpeg,Rephrase the question,Is there a sidewalk?,Is there a sidewalk visible in the image?
IMG_4692.jpeg,Rephrase the question,Is there a curb?,Is there a curb visible in the image?
IMG_4692.jpeg,Rephrase the question,Is there a gutter?,Is there a gutter visible in the image?
IMG_4692.jpeg,Rephrase the question,Is there a street light?,Is there a street light visible in the image?
IMG_4692.jpeg,Rephrase the question,Is there a tree?,Is there a tree visible in the image?
IMG_4692.jpeg,Rephrase the question,Is there a bush?,Is there a bush visible in the image?
IMG_4692.jpeg,Rephrase the question,Is there a flower?,Is there a flower visible in the image?
IMG_4692.jpeg,Rephrase the question,Is there a bird?,Is there a bird visible in the image?
IMG_4692.jpeg,Rephrase the question,Is there a cloud?,Is there a cloud visible in the image?
IMG_4692.jpeg,Rephrase the question,Is there a mountain?,Is there a mountain visible in the image?
IMG_4692.jpeg,Rephrase the question,Is there a hill?,Is there a hill visible in the image?
IMG_4692.jpeg,Rephrase the question,Is there a valley?,Is there a valley visible in the image?
IMG_4692.jpeg,Rephrase the question,Is there a river?,Is there a river visible in the image?
IMG_4692.jpeg,Rephrase the question,Is there a lake?,Is there a lake visible in the image?
IMG_4692.jpeg,Rephrase the question,Is there a pond?,Is there a pond visible in the image?
IMG_4692.jpeg,Rephrase the question,Is there a waterfall?,Is there a waterfall visible in the image?
IMG_4692.jpeg,Rephrase the question,Is there a rainbow?,Is there a rainbow visible in the image?
IMG_4692.jpeg,Rephrase the question,Is there a desert?,Is there a desert visible in the image?
IMG_4714.jpeg,Rephrase the question,What kind of tree is on the left side of the image?,"Is there a tree on the left side of the image? If yes, what kind of tree is it?"
IMG_4714.jpeg,Rephrase the question,What is the name of the restaurant on the left?,"Is there a restaurant on the left side of the image? If yes, what is the name of the restaurant?"
IMG_4714.jpeg,Rephrase the question,What is the name of the restaurant in the middle?,"Is there a restaurant in the middle of the image? If yes, what is the name of the restaurant?"
IMG_4714.jpeg,Rephrase the question,What is the name of the restaurant on the right?,"Is there a restaurant on the right side of the image? If yes, what is the name of the restaurant?"
IMG_4714.jpeg,Rephrase the question,What is the color of the car parked in front of the middle restaurant?,"Is there a car parked in front of the middle restaurant? If yes, what is the color of the car?"
IMG_4714.jpeg,Rephrase the question,What is the make and model of the car parked in front of the middle restaurant?,"Is there a car parked in front of the middle restaurant? If yes, what is the make and model of the car?"
IMG_4714.jpeg,Rephrase the question,What is the license plate number of the car parked in front of the middle restaurant?,"Is there a car parked in front of the middle restaurant? If yes, what is the license plate number of the car?"
IMG_4714.jpeg,Rephrase the question,What is the color of the Jeep parked on the right side of the image?,"Is there a Jeep parked on the right side of the image? If yes, what is the color of the Jeep?"
IMG_4714.jpeg,Rephrase the question,What is the make and model of the Jeep parked on the right side of the image?,"Is there a Jeep parked on the right side of the image? If yes, what is the make and model of the Jeep?"
IMG_4714.jpeg,Rephrase the question,What is the license plate number of the Jeep parked on the right side of the image?,"Is there a Jeep parked on the right side of the image? If yes, what is the license plate number of the Jeep?"
IMG_4714.jpeg,Rephrase the question,What is the name of the shopping center?,"Is there a shopping center in the image? If yes, what is the name of the shopping center?"
IMG_4714.jpeg,Rephrase the question,What is the address of the shopping center?,"Is there a shopping center in the image? If yes, what is the address of the shopping center?"
IMG_4714.jpeg,Rephrase the question,What are the hours of operation of the shopping center?,"Is there a shopping center in the image? If yes, what are the hours of operation of the shopping center?"
IMG_4714.jpeg,Rephrase the question,What is the name of the street that the shopping center is located on?,"Is there a shopping center in the image? If yes, what is the name of the street that the shopping center is located on?"
IMG_4714.jpeg,Rephrase the question,What is the cross street of the shopping center?,"Is there a shopping center in the image? If yes, what is the cross street of the shopping center?"
IMG_4714.jpeg,Rephrase the question,What is the nearest public transportation stop to the shopping center?,"Is there a shopping center in the image? If yes, what is the nearest public transportation stop to the shopping center?"
IMG_4714.jpeg,Rephrase the question,What is the nearest grocery store to the shopping center?,"Is there a shopping center in the image? If yes, what is the nearest grocery store to the shopping center?"
IMG_4714.jpeg,Rephrase the question,What is the nearest gas station to the shopping center?,"Is there a shopping center in the image? If yes, what is the nearest gas station to the shopping center?"
IMG_4714.jpeg,Rephrase the question,What is the nearest bank to the shopping center?,"Is there a shopping center in the image? If yes, what is the nearest bank to the shopping center?"
IMG_4714.jpeg,Rephrase the question,What is the nearest post office to the shopping center?,"Is there a shopping center in the image? If yes, what is the nearest post office to the shopping center?"
IMG_4714.jpeg,Rephrase the question,What is the nearest hospital to the shopping center?,"Is there a shopping center in the image? If yes, what is the nearest hospital to the shopping center?"
IMG_4714.jpeg,Rephrase the question,What is the nearest school to the shopping center?,"Is there a shopping center in the image? If yes, what is the nearest school to the shopping center?"
IMG_4714.jpeg,Rephrase the question,What is the nearest park to the shopping center?,"Is there a shopping center in the image? If yes, what is the nearest park to the shopping center?"
IMG_4714.jpeg,Rephrase the question,What is the nearest playground to the shopping center?,"Is there a shopping center in the image? If yes, what is the nearest playground to the shopping center?"
IMG_4714.jpeg,Rephrase the question,What is the nearest swimming pool to the shopping center?,"Is there a shopping center in the image? If yes, what is the nearest swimming pool to the shopping center?"
IMG_4714.jpeg,Rephrase the question,What is the nearest movie theater to the shopping center?,"Is there a shopping center in the image? If yes, what is the nearest movie theater to the shopping center?"
IMG_4714.jpeg,Rephrase the question,What is the nearest museum to the shopping center?,"Is there a shopping center in the image? If yes, what is the nearest museum to the shopping center?"
IMG_4714.jpeg,Rephrase the question,What is the nearest art gallery to the shopping center?,"Is there a shopping center in the image? If yes, what is the nearest art gallery to the shopping center?"
IMG_4714.jpeg,Rephrase the question,What is the nearest theater to the shopping center?,"Is there a shopping center in the image? If yes, what is the nearest theater to the shopping center?"
IMG_4714.jpeg,Rephrase the question,What is the nearest concert hall to the shopping center?,"Is there a shopping center in the image? If yes, what is the nearest concert hall to the shopping center?"
IMG_4702.jpeg,Rephrase the question,What is the name of the store?,Can you identify the name of the store in the image?
IMG_4702.jpeg,Rephrase the question,What type of food is served at the store?,"What type of food is being served at the store, based on the image?"
IMG_4702.jpeg,Rephrase the question,What are the hours of operation?,Are the store's hours of operation visible in the image?
IMG_4702.jpeg,Rephrase the question,What are the prices of the items on the menu?,Are the prices of any items on the menu displayed in the image?
IMG_4702.jpeg,Rephrase the question,What are the ingredients of the items on the menu?,Can you identify any ingredients of the items on the menu from the image?
IMG_4702.jpeg,Rephrase the question,Are there any specials or promotions being offered?,Are there any specials or promotions being advertised in the image?
IMG_4702.jpeg,Rephrase the question,Is there a loyalty program or rewards system?,Is there any information about a loyalty program or rewards system visible in the image?
IMG_4702.jpeg,Rephrase the question,What are the payment methods accepted?,Are the payment methods accepted by the store indicated in the image?
IMG_4702.jpeg,Rephrase the question,Is there a delivery option available?,"Is there a delivery option available, as shown in the image?"
IMG_4702.jpeg,Rephrase the question,Is there a catering option available?,"Is there a catering option available, as shown in the image?"
IMG_4702.jpeg,Rephrase the question,Is there a seating area available?,Is there a seating area visible in the image?
IMG_4702.jpeg,Rephrase the question,Is there a restroom available?,Is there a restroom visible in the image?
IMG_4702.jpeg,Rephrase the question,Is there a parking lot available?,Is there a parking lot visible in the image?
IMG_4702.jpeg,Rephrase the question,Is the store accessible to people with disabilities?,Are there any accessibility features for people with disabilities visible in the image?
IMG_4702.jpeg,Rephrase the question,What is the dress code for the store?,Is there any information about the dress code for the store visible in the image?
IMG_4702.jpeg,Rephrase the question,Is there a smoking area available?,Is there a designated smoking area visible in the image?
IMG_4702.jpeg,Rephrase the question,Is there a pet-friendly area available?,Is there a pet-friendly area visible in the image?
IMG_4702.jpeg,Rephrase the question,Is there a children's play area available?,Is there a children's play area visible in the image?
IMG_4702.jpeg,Rephrase the question,Is there a Wi-Fi connection available?,"Is there a Wi-Fi connection available, as indicated in the image?"
IMG_4702.jpeg,Rephrase the question,Is there a TV available?,Is there a TV visible in the image?
IMG_4702.jpeg,Rephrase the question,Is there a music player available?,Is there a music player visible in the image?
IMG_4702.jpeg,Rephrase the question,Is there a book exchange available?,Is there a book exchange visible in the image?
IMG_4702.jpeg,Rephrase the question,Is there a magazine exchange available?,Is there a magazine exchange visible in the image?
IMG_4702.jpeg,Rephrase the question,Is there a newspaper exchange available?,Is there a newspaper exchange visible in the image?
IMG_4702.jpeg,Rephrase the question,Is there a toy exchange available?,Is there a toy exchange visible in the image?
IMG_4702.jpeg,Rephrase the question,Is there a game exchange available?,Is there a game exchange visible in the image?
IMG_4702.jpeg,Rephrase the question,Is there a movie exchange available?,Is there a movie exchange visible in the image?
IMG_4702.jpeg,Rephrase the question,Is there a music exchange available?,Is there a music exchange visible in the image?
IMG_4702.jpeg,Rephrase the question,Is there a book club available?,Is there a book club mentioned in the image?
IMG_4702.jpeg,Rephrase the question,Is there a movie club available?,Is there a movie club mentioned in the image?
IMG_4718.jpeg,Rephrase the question,What is the shape of the dining table?,Can you identify the shape of the dining table in the image?
IMG_4718.jpeg,Rephrase the question,How many chairs are there?,How many chairs are visible in the image?
IMG_4718.jpeg,Rephrase the question,What is the color of the chairs?,What color are the chairs in the image?
IMG_4718.jpeg,Rephrase the question,What is the material of the table?,What material is the table made of in the image?
IMG_4718.jpeg,Rephrase the question,What is the color of the table?,What color is the table in the image?
IMG_4718.jpeg,Rephrase the question,What is the shape of the light fixture?,Can you describe the shape of the light fixture in the image?
